date,B0_momentum_12_1,B1_residual_momentum,B2_residual_momentum_vol_target,B3_short_term_reversal
2015-01-05,-0.01229182621755942,-0.0025820057345009584,-0.0025820057345009584,-0.022716523126260046
2015-01-06,-0.012175085729756674,0.003951904784701421,0.003951904784701421,-0.008154228273825836
2015-01-07,0.016515000883005726,0.015132367174492956,0.015132367174492956,0.011678419895552405
2015-01-08,0.023492218080488847,0.012571986614652086,0.012571986614652086,0.0173733476715614
2015-01-09,-0.005610826255210366,-0.0014615120240276669,-0.0014615120240276669,-0.004694830749250811
2015-01-12,-0.013258502225156343,0.0014732031277477908,0.0014732031277477908,-0.016094008601926002
2015-01-13,-0.0016973609302003423,-0.0017538212423524602,-0.0017538212423524602,-0.004591683684942782
2015-01-14,-0.0034635434635160722,0.006119380328765134,0.006119380328765134,-0.006550697289020246
2015-01-15,-0.009012313135406402,0.0026708872422336327,0.0026708872422336327,-0.016500685233311163
2015-01-16,0.0140333210664636,0.008683522762526374,0.008683522762526374,0.020654390949615742
2015-01-20,0.009894758005770887,-0.0020403865887729244,-0.0020403865887729244,0.004651343804042307
2015-01-21,0.006393105132514565,0.003565412718143479,0.003565412718143479,0.010704601933095859
2015-01-22,0.019929490737229383,0.017282155398641752,0.017282155398641752,0.017193080127261062
2015-01-23,-3.49941514983243e-05,-0.0010579752446124857,-0.0010579752446124857,-0.0024660277674518616
2015-01-26,0.00313412972235394,0.0039592811636843805,0.0039592811636843805,-0.0012899635442757962
2015-01-27,-0.014066053656486721,-0.0042037036189825905,-0.0042037036189825905,-0.01347071825654611
2015-01-28,-0.0013089836505199015,-0.0011884567780655608,-0.0011884567780655608,-0.016577822281701682
2015-01-29,0.006544394158109812,0.00608007609404515,0.00608007609404515,0.010183189723021568
2015-01-30,-0.024231060501383017,-0.01981399300960196,-0.01981399300960196,-0.014595726659105912
2015-02-02,-0.0005199132710314025,0.005214705705583578,0.005214705705583578,0.015156647096237208
2015-02-03,0.006207555442441892,0.0066860619601600835,0.0066860619601600835,0.02072863263558311
2015-02-04,0.009195583500523519,0.0051445270841916635,0.0051445270841916635,-0.002338405497471663
2015-02-05,0.00515924128859413,0.003188344017254874,0.003188344017254874,0.011873356627065013
2015-02-06,-0.0074805331401993636,-0.018591252453585172,-0.018591252453585172,-0.006814127650449198
2015-02-09,-0.014822137612544806,-0.007838602960007046,-0.007838602960007046,-0.009094844695909932
2015-02-10,0.02648940247216225,0.012630887939697022,0.012630887939697022,0.018745396289540084
2015-02-11,0.003232653749525971,0.002707709652824075,0.002707709652824075,-0.0027966860391644977
2015-02-12,0.008684598576168767,0.008248036674506132,0.008248036674506132,0.006376168342709709
2015-02-13,-0.0025960223871099863,-0.005980964495368335,-0.005980964495368335,0.002337752591331066
2015-02-17,0.00305570445301262,0.0007035690351577806,0.0007035690351577806,0.004499094061113151
2015-02-18,0.0049757703665958,0.008729152529089346,0.008729152529089346,0.004823247804974118
2015-02-19,0.001470806869045882,-0.009768023695595707,-0.009768023695595707,-0.00013513101377660153
2015-02-20,0.005256727307404008,0.0075080412621064685,0.0075080412621064685,0.007004450461361333
2015-02-23,0.00255868424071215,0.006665124758099994,0.006665124758099994,0.0020544003960609736
2015-02-24,0.0015439850902512209,-0.006788911039633416,-0.006788911039633416,0.003839701438876686
2015-02-25,-0.005995399573354265,-0.005053228284567446,-0.005053228284567446,0.0036959663524158692
2015-02-26,0.006213549220043024,-0.0026424972234943,-0.0026424972234943,-0.005538966695745828
2015-02-27,0.0015398918413558338,0.0005038608498997288,0.0005038608498997288,-0.004425763198978583
2015-03-02,0.00968440413478322,0.006789814731353427,0.006557703392141567,0.004450496594261999
2015-03-03,-0.0037134221109396126,-0.003677039535319726,-0.00352547921027091,-0.005315077681775859
2015-03-04,-0.005282774629325693,-0.007571653545739521,-0.007260948536756517,-0.004836092079888998
2015-03-05,0.010101247297974236,0.008686212484828149,0.00832664934282401,0.0037033853949508533
2015-03-06,-0.01753131246216777,-0.02200457777575715,-0.021104319855968945,-0.013581958613117062
2015-03-09,0.009962960091226547,0.009851706790210413,0.009438433558437653,-0.0020325193926314933
2015-03-10,-0.01276866688921019,-0.006412066185295329,-0.006146221786021866,-0.01958319837465483
2015-03-11,-0.0027883001353169456,-0.0019423909255860128,-0.0018615209991437176,-0.0016706755731501488
2015-03-12,0.015617668867809797,0.016605599378784364,0.015911264728029506,0.007679396520680504
2015-03-13,-0.003213056514769441,-0.002520745536482072,-0.0024172104887040247,-0.005245123617336422
2015-03-16,0.020872813713866956,0.01806729330794954,0.017321557683214195,0.005582751958896903
2015-03-17,-0.006977761285601458,-0.005602154859489228,-0.005373673482942265,-0.009480207546504249
2015-03-18,0.008506628147212592,0.012135688092250296,0.01164260210761836,0.017997740018934394
2015-03-19,0.007841385245487054,0.00078093106085797,0.0007487738649700759,-0.005463165718860075
2015-03-20,0.0007549187644333433,0.008691036472309177,0.008341835453690827,0.012932765921463751
2015-03-23,-0.005453299810588064,-0.000559775766043269,-0.0005368563360985679,-1.7391451466508556e-05
2015-03-24,-0.005124945241762546,-0.00573838186545772,-0.005509203545073005,-0.003129646951669063
2015-03-25,-0.027510763277887706,-0.01718677748984354,-0.0164962991435168,-0.015111019478071364
2015-03-26,-0.00165934242999477,-0.0022480317207063116,-0.0021572500432005537,-0.0033956270529904575
2015-03-27,0.012489951778843489,0.0030916574508466077,0.0029646269575860362,0.00214037957888924
2015-03-30,0.01132792799127924,0.010572939740568277,0.010142218768903088,0.008350617747058697
2015-03-31,-0.013154579461337468,-0.009012880501572118,-0.008647908741439503,-0.007361627070359922
2015-04-01,-0.011077222734982128,-0.0077551328572993405,-0.0069959452375422115,-0.010761619031092184
2015-04-02,0.0032888638144363824,0.0032938596660168074,0.002811846473991908,-0.005806529095351731
2015-04-06,0.0016248285604323343,0.0014119576453495153,0.0012046507458576272,-0.0035764872837544814
2015-04-07,-0.003251820029742891,-0.0034051004625972325,-0.002907138638562179,-0.0035816793859153595
2015-04-08,0.011319184115653025,0.006524231185395912,0.005572312317523087,0.01055912201540421
2015-04-09,0.0007170291867664158,-0.0022178653977152907,-0.001894788467916797,0.0011909257323079459
2015-04-10,0.0052922148870167,0.002651202464707181,0.0022646237359211785,0.006059558917216323
2015-04-13,-0.005946364147438654,-0.0060753698103229725,-0.005194013235507833,-0.008488145425655791
2015-04-14,-0.005595434432997148,-0.0029834110024996585,-0.002547753959111776,0.002151036122010952
2015-04-15,-0.0019378922907775653,-0.0033562721328196377,-0.002861544832684748,0.0069336271641491365
2015-04-16,-0.0009611914636978858,-0.0013733784185143705,-0.001173460748150501,0.0011537504095795459
2015-04-17,-0.014082723035551803,-0.013128741724531379,-0.011199144625423374,-0.012586043860217444
2015-04-20,0.011005687925511376,0.008891480006982588,0.007567714584671981,0.008729105383536995
2015-04-21,0.011061147661415527,0.0043960047376157,0.003748485012177394,0.0021612974490869963
2015-04-22,0.00306171937730082,5.4622340588617035e-05,4.66734941984015e-05,0.008471342008605554
2015-04-23,0.0020403672641007287,0.003815510824954682,0.003253427688045374,-0.0012539028920612871
2015-04-24,-0.005215952872142049,-0.0010217974532412688,-0.0008727769904117721,0.00032905814301265046
2015-04-27,-0.011249160678086234,-0.009021025433115004,-0.007695282423108796,-0.004576248579407305
2015-04-28,-0.006973388896146737,-0.0031393966795911776,-0.00267466180019571,-0.0018735415948202272
2015-04-29,-0.012882600027341873,-0.013681154848775301,-0.011651957618363018,-0.001004342518524326
2015-04-30,-0.013793350321094744,-0.01492667371725065,-0.01268610815418103,-0.007449108233369417
2015-05-01,0.020492180898707746,0.024393869784039568,0.02025727908449393,0.016459063717187306
2015-05-04,0.0026391163094072745,0.0005005397661490552,0.0004160025369919218,0.0026035320313435584
2015-05-05,-0.019068208979059142,-0.01781609893582692,-0.014772592418600516,-0.013470762582328488
2015-05-06,0.004153522537606591,0.005751005930149766,0.0047535341330717795,-0.0033197275943231963
2015-05-07,0.014789766963168027,0.011474013490702761,0.009495544747184725,0.01261867209952583
2015-05-08,0.010916976368487097,0.01438041618130348,0.01192412302917445,0.015622045909165161
2015-05-11,-0.000599116366631125,-0.0024092733041698455,-0.0020009054550117478,-0.005792160939015911
2015-05-12,0.0013510129947917893,0.0006329957331832059,0.0005263107270416789,-0.002221454702040271
2015-05-13,-0.005302716720701484,-0.004715761574058397,-0.003917752538762809,-0.00012040414611136363
2015-05-14,0.011045366225404196,0.011279650053827694,0.009366970450456646,0.00415142525047818
2015-05-15,0.004764056556381346,0.00454405940307101,0.003780425243684604,0.004713949563605491
2015-05-18,0.009523353655976896,0.007085344897507451,0.005900035858531938,0.0009814843621256397
2015-05-19,-0.0013242183190470547,-0.0029627112754140317,-0.002468064277038051,-0.008076497890068368
2015-05-20,-0.01322839158166822,-0.010030840686215736,-0.008352295526353193,0.001428909145549051
2015-05-21,0.0016312169905174922,0.002617093002195814,0.0021746943120735107,0.009743896347362835
2015-05-22,-0.0009750145302555024,-0.002177826562405505,-0.0018120001937383945,-0.005031701631383445
2015-05-26,-0.01075156591173887,-0.009556335113048542,-0.00794841911642985,-0.0182705318918418
2015-05-27,0.020274596328082595,0.017672236396107266,0.014676253229042091,0.009705023752077713
2015-05-28,-0.0022690607082063163,-0.00047445058146977637,-0.00039297727044917963,-0.003528040918359343
2015-05-29,0.013223680604876886,-0.00032330147631021156,-0.00026455844277395446,-0.005263006283430904
2015-06-01,0.0024282809182836207,0.002499219731185276,0.0020410585066934495,-0.0016497301953525279
2015-06-02,-0.004762006709286282,-0.0036941731547736056,-0.0033091684077568573,0.007006943404673116
2015-06-03,0.003640552518003215,0.004773433873708655,0.004274643426821267,-0.0012166578250325522
2015-06-04,-0.00467705338941049,-0.008568557666519316,-0.0076757358006520615,-0.00965456028650069
2015-06-05,0.0037562122513430385,-0.004799741998617213,-0.004294327181397106,0.00388314062180517
2015-06-08,-0.012013649730310827,-0.007231476858767905,-0.006469244509728189,-0.010599325978169372
2015-06-09,-0.0009279455307644735,0.0011580269462652115,0.0010365188056176144,-0.0015164616060707736
2015-06-10,0.00999952996453346,0.012671463056598498,0.011328259116475614,0.011203419388220226
2015-06-11,0.0010663028358828264,0.002527814455554722,0.0022626860125132264,0.0016850206162473125
2015-06-12,-0.005649982135242149,-0.004565843736415887,-0.0040885791721744225,-0.008058529960483618
2015-06-15,-0.0005226860129106115,-0.004205839387103727,-0.003763520119557273,0.0029831906279627063
2015-06-16,0.009562487285291077,0.009802338170761926,0.008770758880906726,0.002270114116999622
2015-06-17,0.006430247012890966,0.006011583921623043,0.005383465090989414,0.005232731778590294
2015-06-18,0.01220904766613673,0.013038127488414597,0.01168440469151788,0.010623553150938214
2015-06-19,-0.0015298696320696914,0.0009176728788471422,0.0008220111547090347,-0.002438274466025403
2015-06-22,0.0035887000005698777,0.004443071139445642,0.0039868728414231835,0.0056225339421211995
2015-06-23,0.0017499976911667936,0.0003385816574996703,0.00030484602481939405,0.003579272995257954
2015-06-24,-0.007720875818140072,-0.0080145107871602,-0.007196546859860042,-0.006994159654674981
2015-06-25,0.013643089403549968,0.00872158464134798,0.007832822040086063,-0.001958665817823335
